#worker thread, throughput, min, max
#./cicada.exe 5000000 10 thread 50 0 ON OFF OFF 2400 5 2 E 10 3
1 360025.00000000000000000000 319843 420930
15 4343758.40000000000000000000 4164969 4723713
31 6429686.40000000000000000000 6342501 6584366
47 7461239.60000000000000000000 7216999 7683718
63 8895395.40000000000000000000 8684046 9202947
79 10723834.60000000000000000000 10604297 10891681
95 12182569.20000000000000000000 12056331 12327650
111 13939884.00000000000000000000 13595851 14350196
127 15308121.00000000000000000000 14991829 15798762
143 16788433.60000000000000000000 16393764 17228996
159 17638245.60000000000000000000 17173863 18114485
175 18239238.40000000000000000000 17470348 18870011
191 19565089.60000000000000000000 19257750 20059245
207 20363577.60000000000000000000 19908306 20805652
223 21019016.60000000000000000000 20753293 21301558
