#worker thread, throughput, min, max
#./cicada.exe 500000 10 thread 95 0 ON OFF OFF 2400 5 2 E 10 3
1 1000414.40000000000000000000 940453 1086731
15 14578758.40000000000000000000 14163474 15184499
31 22685467.20000000000000000000 22295178 23385029
47 30444714.80000000000000000000 30106068 31388901
63 38809308.60000000000000000000 37349533 39354961
79 47662680.00000000000000000000 46997226 47907971
95 55806255.40000000000000000000 55557813 56439759
111 64010237.00000000000000000000 63150324 64676041
127 69425561.40000000000000000000 68893895 69871158
143 72180903.80000000000000000000 71802232 72615371
159 75533023.20000000000000000000 73763838 76100515
175 78155597.00000000000000000000 77811369 79029075
191 80944186.00000000000000000000 78887350 82398625
207 84583914.00000000000000000000 84041323 85061492
223 88168941.00000000000000000000 87389877 88631873
