#worker thread, throughput, min, max
#./cicada.exe 5000000 10 thread 95 0 ON OFF OFF 2400 5 2 E 10 3
1 585122.60000000000000000000 571711 595627
15 8104913.20000000000000000000 7818554 8581256
31 16097965.00000000000000000000 14064043 17314494
47 19675736.60000000000000000000 18941620 21144693
63 25621998.60000000000000000000 25526710 25712525
79 29083778.00000000000000000000 28618236 30269147
95 35304277.00000000000000000000 34539854 35916864
111 40386533.80000000000000000000 39988779 40768831
127 43272899.80000000000000000000 42326789 43791411
143 45113345.20000000000000000000 44756104 45465338
159 46992310.20000000000000000000 46627762 47562572
175 48175243.40000000000000000000 47378451 49116987
191 50498197.20000000000000000000 50013392 50967350
207 52142111.20000000000000000000 51825540 52602045
223 53429543.00000000000000000000 52587128 55132915
