#worker thread, throughput, min, max
#./cicada.exe 500 10 thread 100 0 ON OFF OFF 2400 5 2 E 10 3
1 3125798.20000000000000000000 3056380 3175603
15 37560969.20000000000000000000 36211846 40671875
31 73084212.20000000000000000000 70166538 74634123
47 116108455.80000000000000000000 114094837 116764001
63 154182282.20000000000000000000 153819452 154517934
79 189450261.00000000000000000000 189032827 189673737
95 232933238.00000000000000000000 232805611 233106724
111 263948907.40000000000000000000 263693667 264247897
127 273581534.00000000000000000000 272330319 274860827
143 283098077.60000000000000000000 282596708 283413360
159 293517045.80000000000000000000 293306336 293724965
175 303561706.60000000000000000000 302738739 304209997
191 313474363.80000000000000000000 312544324 314788057
207 325309799.80000000000000000000 324404099 325956207
223 337440778.80000000000000000000 335228010 338357436
