#worker thread, throughput, min, max
#./cicada.exe 5000000 10 thread 100 0 ON OFF OFF 2400 5 2 E 10 3
1 684936.60000000000000000000 660075 706862
15 9909444.80000000000000000000 9087441 12813192
31 20147393.40000000000000000000 17909761 23212987
47 27670794.20000000000000000000 27313435 28146486
63 36972514.80000000000000000000 35906092 38224779
79 45668851.20000000000000000000 44870544 46454608
95 52132935.40000000000000000000 51487089 52624128
111 57407089.60000000000000000000 56209146 57834954
127 60582386.40000000000000000000 59663929 61325732
143 62751926.60000000000000000000 62431310 63173233
159 65276092.40000000000000000000 64098094 66183975
175 66987900.00000000000000000000 65843433 68381575
191 68314957.40000000000000000000 67303422 69261378
207 69827964.80000000000000000000 69236224 70577282
223 69885861.60000000000000000000 69415701 70170353
