#worker threads, throughput, min, max
#./ermia.exe 500 10 thread 50 0 ON 2400 10 3
1 1192409.00000000000000000000 1182506 1203346
15 2283300.40000000000000000000 2236609 2309162
31 1585741.80000000000000000000 1546475 1616908
47 1351271.00000000000000000000 1339238 1372072
63 1191196.40000000000000000000 1183099 1206851
79 1099816.40000000000000000000 1085373 1111225
95 1029111.60000000000000000000 1015918 1038818
111 963519.20000000000000000000 960746 966851
127 920930.20000000000000000000 905190 932677
143 860601.40000000000000000000 850090 869551
159 790692.80000000000000000000 786712 796056
175 787922.20000000000000000000 782390 794601
191 774376.40000000000000000000 763841 778205
207 745834.80000000000000000000 736908 750481
223 720246.60000000000000000000 710285 726018
