#worker threads, throughput, min, max
#./mocc.exe 500000 10 thread 50 0 ON 2400 40 3
1 1675828.40000000000000000000 1605117 1704691
15 17892747.00000000000000000000 17160805 18161113
31 26480302.60000000000000000000 25979927 27919945
47 31008696.40000000000000000000 28539352 33096406
63 36157614.00000000000000000000 32658426 39877870
79 46588344.60000000000000000000 46146364 46982353
95 52244807.20000000000000000000 50154649 53639952
111 59994474.20000000000000000000 59809116 60062287
127 63188159.00000000000000000000 62887189 63378162
143 66107249.20000000000000000000 65730952 66294018
159 68650813.40000000000000000000 68261648 68979598
175 70915446.00000000000000000000 70602128 71349732
191 73232737.40000000000000000000 72764129 73725574
207 74841213.60000000000000000000 74416804 75695341
223 76109060.80000000000000000000 75824201 77039364
