#worker threads, throughput, min, max
#./mocc.exe 5000000 10 thread 50 0 ON 2400 40 3
1 1064774.80000000000000000000 1019573 1202627
15 15042000.60000000000000000000 14346722 15805040
31 21122809.80000000000000000000 21052365 21212186
47 29237894.00000000000000000000 27098146 31788285
63 35662837.40000000000000000000 31165966 37899619
79 43855031.20000000000000000000 43391966 44125353
95 49449182.20000000000000000000 49250117 49607309
111 54120169.40000000000000000000 53991594 54227739
127 55957032.40000000000000000000 55904791 55978141
143 57494245.60000000000000000000 57284570 57569997
159 58655741.20000000000000000000 58466376 58914200
175 60190457.00000000000000000000 59986852 60642803
191 61631517.20000000000000000000 61544523 61737760
207 62657832.00000000000000000000 62497238 62805607
223 63650405.80000000000000000000 63401547 64154775
