#worker threads, throughput, min, max
#./mocc.exe 5000000 10 thread 95 0 ON 2400 40 3
1 1309282.20000000000000000000 1226578 1432838
15 16679333.60000000000000000000 16440011 16981439
31 29664709.40000000000000000000 28250349 34610002
47 43132589.80000000000000000000 42025948 47032390
63 55890800.20000000000000000000 51442495 60136479
79 69074686.60000000000000000000 60304936 71747501
95 83299415.60000000000000000000 79369778 84618102
111 93497885.60000000000000000000 92131259 93969425
127 95260368.80000000000000000000 94189576 96610145
143 96385087.80000000000000000000 94281713 99356652
159 97364497.20000000000000000000 95029758 99081413
175 98432826.00000000000000000000 96535453 101404139
191 99824173.60000000000000000000 95440741 101560700
207 103552337.00000000000000000000 102303674 108255122
223 102716776.80000000000000000000 102446363 103666020
