#worker threads, throughput, min, max
#./mocc.exe 500000 10 thread 100 0 ON 2400 40 3
1 2368672.20000000000000000000 2365456 2370961
15 32030075.20000000000000000000 30888696 32491269
31 59280047.20000000000000000000 59151153 59494115
47 90785186.80000000000000000000 90581565 90926537
63 119747325.40000000000000000000 119213579 120283376
79 147980578.20000000000000000000 147819387 148070522
95 180341477.60000000000000000000 178510540 181396870
111 206509192.60000000000000000000 206351202 206633760
127 214386717.40000000000000000000 214323854 214450312
143 221434341.00000000000000000000 221222770 221587774
159 228091315.20000000000000000000 227844483 228314891
175 236162551.80000000000000000000 235872105 236380480
191 242810270.00000000000000000000 242732293 242879112
207 252284879.80000000000000000000 252218904 252437361
223 260635089.60000000000000000000 260250760 260914494
