#worker threads, throughput, min, max
#./si.exe 500 10 thread 50 0 ON 2400 3
1 1489424.80000000000000000000 1485801 1495186
15 7828472.20000000000000000000 7759291 7907381
31 7497774.20000000000000000000 7362179 7754094
47 7002571.80000000000000000000 6813437 7183826
63 6499545.20000000000000000000 6462524 6576024
79 6186149.80000000000000000000 6052187 6265633
95 5532437.20000000000000000000 5471652 5581205
111 5216491.20000000000000000000 5182887 5247205
127 4623137.20000000000000000000 4597286 4665709
143 4242775.00000000000000000000 4200880 4278260
159 3841625.20000000000000000000 3807146 3888070
175 3329554.80000000000000000000 3280659 3361052
191 2842158.60000000000000000000 2802128 2881677
207 2433080.20000000000000000000 2403666 2459336
223 2004025.00000000000000000000 1982063 2030789
