#Worker threads, throughput, min, max
1 2238940.00000000000000000000 2222527 2245052
16 4877857.20000000000000000000 4830676 4942544
32 2189836.40000000000000000000 2139844 2219900
48 697848.00000000000000000000 669642 726597
64 351280.20000000000000000000 331853 373894
80 203597.80000000000000000000 199047 210217
96 112437.00000000000000000000 109843 114917
112 66512.40000000000000000000 65282 67765
128 52887.20000000000000000000 51525 55687
144 44203.60000000000000000000 43456 45059
160 35926.20000000000000000000 34502 38103
176 30112.00000000000000000000 28871 32833
192 25082.60000000000000000000 24072 25955
208 21537.20000000000000000000 20778 22562
224 18632.80000000000000000000 18324 19044
