#Worker threads, throughput, min, max
1 2993020.60000000000000000000 2988990 2997302
16 9823985.00000000000000000000 9558089 10191669
32 8515706.40000000000000000000 8445659 8562547
48 4490919.00000000000000000000 3997234 5035619
64 4296993.60000000000000000000 3765004 4843718
80 3979821.20000000000000000000 3773009 4453704
96 3736135.20000000000000000000 3617888 3874121
112 3294007.60000000000000000000 3268217 3322516
128 3021295.80000000000000000000 3003314 3038899
144 2765033.00000000000000000000 2758149 2784467
160 2551138.40000000000000000000 2533135 2573368
176 2341768.20000000000000000000 2333541 2349351
192 2156613.00000000000000000000 2139680 2168806
208 1989475.00000000000000000000 1976944 2000695
224 1828853.20000000000000000000 1804359 1838822
