#worker threads, abort_rate, min, max
1 1894851.60000000000000000000 1853866 1907626
16 20323737.80000000000000000000 19757369 20491043
32 28828001.00000000000000000000 28093263 30114632
48 30223068.60000000000000000000 28105280 31566173
64 36482047.00000000000000000000 32548007 38860915
80 43063165.40000000000000000000 37928567 44582772
96 48996093.80000000000000000000 47068312 50246310
112 53415130.20000000000000000000 53348980 53468460
128 54737004.00000000000000000000 54558889 55020963
144 55808232.20000000000000000000 55734944 55940816
160 57103092.80000000000000000000 56663286 57448606
176 57889425.00000000000000000000 57472149 58379067
192 58607606.20000000000000000000 58098757 59213837
208 59328881.40000000000000000000 58976056 59591590
224 59623759.40000000000000000000 59501326 59815677
